snapshot,1,2,3,4,5,6,7,8,9
2024-04-11 00:00:00+00:00,75.0,0.0,0.0,0.0,-37.5,-37.5,0.0,0.0,0.0
2024-04-11 01:00:00+00:00,58.527344,0.0,19.5,0.0,-39.013671875,-39.013671875,0.0,0.0,0.0
2024-04-11 02:00:00+00:00,42.859375,0.0,38.0,0.0,-40.4296875,-40.4296875,0.0,0.0,0.0
2024-04-11 03:00:00+00:00,27.996094,0.0,55.5,0.0,-41.748046875,-41.748046875,0.0,0.0,0.0
2024-04-11 04:00:00+00:00,13.9375,0.0,72.0,0.0,-42.96875,-42.96875,0.0,0.0,0.0
2024-04-11 05:00:00+00:00,0.68359375,0.0,87.5,0.0,-44.091796875,-44.091796875,0.0,0.0,0.0
2024-04-11 06:00:00+00:00,0.0,0.0,90.234375,0.0,-45.1171875,-45.1171875,0.0,0.0,0.0
2024-04-11 07:00:00+00:00,0.0,0.0,92.089844,0.0,-46.044921875,-46.044921875,0.0,0.0,0.0
2024-04-11 08:00:00+00:00,0.0,0.0,93.75,0.0,-46.875,-46.875,0.0,0.0,0.0
2024-04-11 09:00:00+00:00,0.0,0.0,95.214844,0.0,-47.607421875,-47.607421875,0.0,0.0,0.0
2024-04-11 10:00:00+00:00,0.0,0.0,96.484375,0.0,-48.2421875,-48.2421875,0.0,0.0,0.0
2024-04-11 11:00:00+00:00,0.0,0.0,97.558594,0.0,-48.779296875,-48.779296875,0.0,0.0,0.0
2024-04-11 12:00:00+00:00,0.0,0.0,98.4375,0.0,-49.21875,-49.21875,0.0,0.0,0.0
2024-04-11 13:00:00+00:00,0.0,0.0,99.121094,0.0,-49.560546875,-49.560546875,0.0,0.0,0.0
2024-04-11 14:00:00+00:00,0.0,0.0,99.609375,0.0,-49.8046875,-49.8046875,0.0,0.0,0.0
2024-04-11 15:00:00+00:00,0.0,0.0,99.902344,0.0,-49.951171875,-49.951171875,0.0,0.0,0.0
2024-04-11 16:00:00+00:00,0.0,0.0,100.0,0.0,-50.0,-50.0,0.0,0.0,0.0
2024-04-11 17:00:00+00:00,0.0,0.0,99.902344,0.0,-49.951171875,-49.951171875,0.0,0.0,0.0
2024-04-11 18:00:00+00:00,0.0,0.0,99.609375,0.0,-49.8046875,-49.8046875,0.0,0.0,0.0
2024-04-11 19:00:00+00:00,0.0,0.0,99.121094,0.0,-49.560546875,-49.560546875,0.0,0.0,0.0
2024-04-11 20:00:00+00:00,0.0,0.0,98.4375,0.0,-49.21875,-49.21875,0.0,0.0,0.0
2024-04-11 21:00:00+00:00,0.0,0.0,97.558594,0.0,-48.779296875,-48.779296875,0.0,0.0,0.0
2024-04-11 22:00:00+00:00,0.0,0.0,96.484375,0.0,-48.2421875,-48.2421875,0.0,0.0,0.0
2024-04-11 23:00:00+00:00,0.0,0.0,95.214844,0.0,-47.607421875,-47.607421875,0.0,0.0,0.0
